Pos	Nr	Athlete	NOC	Time (A)			
1	2452	Mo Farah	GBR	27:05.17			
2	2698	Paul Tanui	KEN	27:05.64			
3	2400	Tamirat Tola	ETH	27:06.26			
4	2392	Yigrem Demelash	ETH	27:06.27			
5	3097	Galen Rupp	USA	27:08.92			
6	3015	Joshua Kiprui Cheptegei	UGA	27:10.06			
7	2691	Bedan Karoki Muchiri	KEN	27:22.93			
8	2344	Zersenay Tadese	ERI	27:23.86			
9	2337	Nguse Tesfaldet	ERI	27:30.79			
10	2166	Abraham Cheroben	BRN	27:31.86			
11	2677	Geoffrey Kamworor	KEN	27:31.94			
12	2812	Zane Robertson	NZL	27:33.67			
13	2997	Polat ArÄ±kan	TUR	27:35.50			
14	3082	Leonard Essau Korir	USA	27:35.65			
15	2397	Abadi Hadis	ETH	27:36.34			
16	2045	David McNeill	AUS	27:51.71			
17	2654	Suguru Osako	JPN	27:51.94			
18	2904	Stephen Mokoka	RSA	27:54.57			
19	3081	Shadrack Kipchirchir	USA	27:58.32			
20	2086	Bashir Abdi	BEL	28:01.49			
21	2822	Luis Ostos	PER	28:02.03			
22	3021	Moses Kurong	UGA	28:03.38			
23	3024	Timothy Toroitich	UGA	28:04.84			
24	2341	Goitom Kifle	ERI	28:15.99			
25	2477	Andy Vernon	GBR	28:19.36			
26	2169	El Hassan El-Abbassi	BRN	28:20.17			
27	2083	Olivier Irabaruta	BDI	28:32.75			
28	2051	Ben St. Lawrence	AUS	28:46.32			
29	2659	Yuta Shitara	JPN	28:55.23			
30	2649	Kota Murayama	JPN	29:02.51			
31	2465	Ross Millington	GBR	29:14.95			
32	2188	Mohammed Ahmed	CAN	29:32.84