Pos	Nr	Athlete	NOC	R1	QF	SF	Final			
1	2223	Veronica Campbell	JAM	22.59 (1 h1)	22.49 (1 h1)	22.13 (1 h2)	22.05 (1)	Gold		
2	3259	Allyson Felix	USA	22.39 (1 h4)	22.69 (1 h3)	22.36 (1 h1)	22.18 (2)	Silver		
3	1124	Debbie Ferguson	BAH	22.57 (1 h7)	22.53 (2 h1)	22.49 (4 h2)	22.30 (3)	Bronze		
4	2213	Aleen Bailey	JAM	22.73 (1 h6)	22.97 (2 h2)	22.33 (2 h2)	22.42 (4)			
5	1285	Ivet Lalova	BUL	22.88 (1 h2)	22.81 (2 h4)	22.56 (3 h1)	22.57 (5)			
6	1147	Kim Gevaert	BEL	22.76 (2 h6)	22.68 (3 h1)	22.48 (3 h2)	22.84 (6)			
=7	1829	Abi Oyepitan	GBR	22.50 (2 h4)	22.79 (2 h3)	22.56 (2 h1)	22.87 (=7)			
=7	3299	Muna Lee	USA	22.57 (1 h5)	22.74 (1 h2)	22.69 (4 h1)	22.87 (=7)			
5 h1 r3/4	3185	Maryna Maidanova	UKR	22.76 (3 h4)	22.86 (3 h3)	22.75 (5 h1)	–			
5 h2 r3/4	1330	Cydonie Mothersill	CAY	22.40 (1 h3)	22.76 (1 h4)	22.76 (5 h2)	–			
6 h1 r3/4	2237	Beverly McDonald	JAM	22.90 (2 h3)	22.99 (3 h4)	23.02 (6 h1)	–			
6 h2 r3/4	3313	LaShauntea Moore	USA	23.10 (3 h1)	22.96 (4 h1)	22.93 (6 h2)	–			
7 h1 r3/4	1717	Christine Arron	FRA	22.60 (2 h7)	22.90 (4 h3)	23.05 (7 h1)	–			
7 h2 r3/4	1737	Sylviane Félix	FRA	22.94 (2 h2)	23.08 (5 h1)	22.99 (7 h2)	–			
8 h2 r3/4	1985	Olga Kaidantzi	GRE	23.11 (3 h6)	23.15 (3 h2)	23.30 (8 h2)	–			
AC h1 r3/4	3016	Merlene Ottey	SLO	22.72 (3 h7)	23.07 (4 h4)	– (AC h1)	–			
4 h2 r2/4	1417	Digna Murillo	COL	22.98 (5 h7)	23.19 (4 h2)	–	–			
5 h2 r2/4	2907	Tatyana Levina	RUS	23.05 (2 h5)	23.23 (5 h2)	–	–			
5 h3 r2/4	1163	Fabienne Féraez	BEN	23.12 (4 h6)	23.24 (5 h3)	–	–			
5 h4 r2/4	1817	Joice Maduaka	GBR	23.15 (4 h3)	23.30 (5 h4)	–	–			
6 h1 r2/4	2152	LaVerne Jones	ISV	23.20 (3 h5)	23.09 (6 h1)	–	–			
6 h2 r2/4	1745	Muriel Hurtis	FRA	22.77 (4 h4)	23.33 (6 h2)	–	–			
6 h3 r2/4	2969	Yelena Bolsun	RUS	23.00 (3 h3)	23.26 (6 h3)	–	–			
6 h4 r2/4	2687	Anna Pacholak	POL	23.00 (6 h7)	23.35 (6 h4)	–	–			
7 h1 r2/4	1104	Karin Mayr-Krifka	AUT	22.81 (5 h4)	23.19 (7 h1)	–	–			
7 h2 r2/4	3007	Alenka Bikar	SLO	23.09 (2 h1)	23.38 (7 h2)	–	–			
7 h3 r2/4	1483	Marilia Grigoriou	CYP	23.23 (4 h5)	23.65 (7 h3)	–	–			
7 h4 r2/4	2892	Yekaterina Kondratyeva	RUS	23.03 (3 h2)	23.37 (7 h4)	–	–			
8 h1 r2/4	1237	Lucimar Moura	BRA	23.40 (4 h1)	23.44 (8 h1)	–	–			
8 h2 r2/4	1192	Nataliya Safronnikova	BLR	23.28 (4 h2)	23.63 (8 h2)	–	–			
8 h3 r2/4	2610	Mary Onyali-Omagbemi	NGR	23.37 (6 h4)	23.75 (8 h3)	–	–			
8 h4 r2/4	1065	Lauren Hewitt	AUS	22.87 (4 h7)	23.44 (8 h4)	–	–