Pos	Nr	Athlete	NOC	Qualifying	Final			
1	2703	Anita Włodarczyk	POL	75.68 (1)	77.60 (1)	Gold		
2	1939	Betty Heidler	GER	74.44 (3)	77.12 (2)	Silver		
3	1396	Zhang Wenxiu	CHN	74.53 (2)	76.34 (3)	Bronze		
4	1940	Kathrin Klaas	GER	74.14 (4)	76.05 (4)			
5	1499	Yipsi Moreno	CUB	73.95 (5)	74.60 (5)			
6	1777	Stéphanie Falzon	FRA	71.67 (7)	73.06 (6)			
7	2683	Joanna Fiodorow	POL	70.48 (8)	72.37 (7)			
8	1859	Sophie Hitchon	GBR	71.98 (6)	69.33 (8)	
AC	2490	Zalina Marghiev	MDA	72.19 (AC)	74.06 (AC)		DQ
AC	2877	Tatyana Lysenko	RUS	74.43 (AC)	78.18 (AC)		DQ
AC	1189	Oksana Menkova	BLR	73.10 (AC)	74.40 (AC)		DQ
AC	2847	Mariya Bespalova	RUS	73.56 (AC)	71.13 (AC)		DQ	
AC	2867	Gulfiya Khanafeyeva	RUS	69.43 (AC)	–		DQ	
AC	1188	Yelena Matoshko	BLR	67.03 (AC)	–		DQ	