Pos	Nr	Athlete	NOC	Time			
1	3113	Stephen Kiprotich	UGA	2-08:01	Gold		
2	2304	Abel Kirui	KEN	2-08:27	Silver		
3	2302	Wilson Kipsang Kiprotich	KEN	2-09:37	Bronze		
4	3225	Meb Keflezighi	USA	2-11:06			
5	1226	Marílson dos Santos	BRA	2-11:10			
6	2230	Kentaro Nakamoto	JPN	2-11:16			
7	3368	Cuthbert Nyasango	ZIM	2-12:08			
8	1229	Paulo Roberto Paula	BRA	2-12:17			
9	2672	Henryk Szost	POL	2-12:28			
10	2139	Ruggero Pertile	ITA	2-12:45			
11	2971	Viktor Röthlin	SUI	2-12:48			
12	3147	Oleksandr Sitkovskiy	UKR	2-12:56			
13	1222	Franck Caldeira	BRA	2-13:35			
14	2824	Aleksey Reunkov	RUS	2-13:49			
15	3367	Wirimai Juwawo	ZIM	2-14:09			
16	1059	Michael Shelley	AUS	2-14:10			
17	2315	Emmanuel Kipchirchir Mutai	KEN	2-14:49			
18	2457	Rachid Kisri	MAR	2-15:09			
19	1593	Yared Asmerom	ERI	2-15:24			
20	1304	Dylan Wykes	CAN	2-15:26			
21	2629	Raúl Pacheco	PER	2-15:35			
22	1288	Eric Gillis	CAN	2-16:00			
23	2825	Dmitry Safronov	RUS	2-16:04			
24	1615	Carles Castillejo	ESP	2-16:17			
25	2484	Iaroslav Musinschi	MDA	2-16:25			
26	2760	Marius Ionescu	ROU	2-16:28			
27	1285	Reid Coolsaet	CAN	2-16:29			
28	1041	Martin Dent	AUS	2-16:29			
29	3146	Vitaliy Shafar	UKR	2-16:36			
30	1822	Lee Merrien	GBR	2-17:00			
31	1613	Ignacio Cáceres	ESP	2-17:11			
32	2358	Lee Du-Haeng	KOR	2-17:19			
33	3015	Faustine Mussa	TAN	2-17:39			
34	1620	José Carlos Hernández	ESP	2-17:48			
35	1019	Miguel Ángel Bárzola	ARG	2-17:54			
36	2594	Urige Buta	NOR	2-17:58			
37	2800	Georgy Andreyev	RUS	2-18:20			
38	2014	José Amado García	GUA	2-18:23			
39	2507	Daniel Vargas	MEX	2-18:26			
40	2242	Ryo Yamamoto	JPN	2-18:34			
41	1548	Jesper Faurschou	DEN	2-18:44			
42	2117	Kári Steinn Karlsson	ISL	2-18:47			
43	2777	Lusapho April	RSA	2-19:00			
44	2480	Mike Tebulo	MAW	2-19:11			
45	2222	Arata Fujiwara	JPN	2-19:11			
46	2929	Primož Kobe	SLO	2-19:28			
47	2079	Guor Marial	IOA	2-19:32			
48	2709	Luís Feiteira	POR	2-19:40			
49	2786	Stephen Mokoka	RSA	2-19:52			
50	1570	Miguel Almachi	ECU	2-19:53			
51	2515	Bat-Ochiryn Ser-Od	MGL	2-20:10			
52	2736	Pak Song-Chol	PRK	2-20:20			
53	2735	Kim Kwang-Hyok	PRK	2-20:20			
54	1348	Dong Guojian	CHN	2-20:39			
55	2962	Anuradha Cooray	SRI	2-20:41			
56	2216	Methkal Abu Drais	JOR	2-21:00			
57	2096	Mark Kenneally	IRL	2-21:13			
58	1596	Yonas Kifle	ERI	2-21:25			
59	3123	Ivan Babaryka	UKR	2-21:52			
60	2496	Carlos Cordero	MEX	2-22:08			
61	1828	Scott Overall	GBR	2-22:37			
62	3348	Pedro Mora	VEN	2-22:40			
63	1047	Jeff Hunt	AUS	2-22:59			
64	1167	Stepan Rogovtsov	BLR	2-23:23			
65	1449	César Lizano	CRC	2-24:16			
66	3016	Samson Ramadhani	TAN	2-24:53			
67	1517	Jan Kreisinger	CZE	2-25:03			
68	2753	Mohammed Abduh Bakhet	QAT	2-25:17			
69	1731	Jussi Utriainen	FIN	2-26:25			
70	2500	Arturo Malaquias	MEX	2-26:37			
71	3066	Wissem Hosni	TUN	2-26:43			
72	2045	Tamás Kovács	HUN	2-27:48			
73	2351	Jang Sin-Gwon	KOR	2-28:20			
74	1012	Toni Bernadó	AND	2-28:34			
75	2423	Marcel Tschopp	LIE	2-28:54			
76	3076	Bekir Karayel	TUR	2-29:38			
77	3030	Chang Chia-Che	TPE	2-29:58			
78	2070	Ram Singh Yadav	IND	2-30:06			
79	2905	Jean-Pierre Mvuyekure	RWA	2-30:19			
80	1985	Kostas Poulios	GRE	2-33:17			
81	2121	Zohar Zemiro	ISR	2-34:59			
82	2352	Jeong Jin-Hyeok	KOR	2-38:45			
83	1412	Juan Carlos Cardona	COL	2-40:13			
84	3026	Augusto Soares	TLS	2-45:09			
85	2419	Tsepo Ramonene	LES	2-55:54